Project,Product Development,AI/ML,Engineering Technologies,Data Science,UI Design,UX Research,Prototyping,Tech for Good,Graphic Design,Group Project,Mentor,Course/Programme,Finance,Link
Saathi,1,1,0,0,1,1,1,1,0,1,Dr. Anveshna Srivastava,NaN,0,https://play.google.com/store/apps/details?id=com.acm.saathi
Studata,1,1,0,1,1,1,1,0,0,1,Course Project,Human AI Interaction,0,https://studata-vxsr.onrender.com/
Superwiser,0,0,0,0,1,1,1,0,0,1,Course Project,Human Computer Interaction,0,https://drive.google.com/drive/folders/1E5UxkKVJCFd5aFRidNctPnNFPpW8ksMq?usp=drive_link
Carbon Data Analysis,1,0,0,1,1,0,1,0,0,1,Dr. Sruti S Ragavan,Undergraduate Project,0,https://www.canva.com/design/DAG4Ys3yd0k/vssNbKtH0xi1Ju85JCttNQ
Deutsche Bank Internship,1,1,0,1,1,0,0,0,0,1,Prachi Gala,Deutsche Bank Internship,1,NaN
Flankers Replication Study,0,0,1,1,0,1,0,0,0,1,Course Project,Introduction to Cognitive Science,0,https://drive.google.com/file/d/1Jog6GijayrbxRbqAvD9CXDdWWFTEExy6/view?usp=drive_link
Companion Arbiter PUF,0,1,0,0,0,0,0,0,0,1,Course Project,Introduction to Machine Learning,0,https://drive.google.com/drive/folders/16jmcTcC4lV8SSiDKmVMaCKkVEuH0nYk-?usp=drive_link
REDev,1,0,0,0,1,0,0,0,0,1,Competition,NaN,0,restox.onrender.com
Convolve 2.0,0,1,0,0,0,0,0,0,0,1,Competition,NaN,0,NaN
Bank of Baroda Hackathon,1,1,0,1,0,0,0,0,0,1,Competition,NaN,1,https://drive.google.com/file/d/1KUE7s4505CiDOLPvi3tMOwTTOPpX_pe9/view?usp=drive_link
A Literature Survey on Environmental Factors Influencing Productivity,0,0,1,1,0,0,0,1,0,0,Dr. Anubha Goel,Undergraduate Project,0,https://drive.google.com/file/d/1534GkrdeFG3hDTTaCn7iqSrURdCPDqY7/view?usp=drive_link
Analysis of Load-Limiting Devices in Suspension Towers,0,0,1,0,0,0,0,0,0,0,Dr. Chinmoy Kolay,SURGE IITK,0,https://drive.google.com/file/d/1ijOVrqBu5R9Ou0HaX42TCGP4vGFAgt2h/view?usp=drive_link
Real-time Captioning System with CDAP,1,1,0,1,0,0,0,1,0,1,Self Project,NaN,0,NaN
You are what you Remember,0,0,0,0,0,0,0,1,1,0,Course Project,Applied Cognitive Science,0,https://www.canva.com/design/DAGfKheR62A/vSOmLU3ZSZfY23bn0JOzJw/
Pingala Redesign,0,1,0,0,1,1,1,0,0,1,Course Project,Human AI Interaction,0,https://drive.google.com/file/d/1xcetMbFQIfCp2VDBuK0E7ivA8rfmIt3B/view?usp=drive_link
Spotify Review Analysis,0,0,0,0,0,1,0,0,0,1,Course Project,Human Computer Interaction,0,NaN
Investment Banking Virtual Experience,0,0,0,0,0,0,0,0,0,0,Self Project,JP Morgan Chase via Forage,1,NaN
Biodiversity Assessment of IITK,0,0,1,1,0,0,0,1,0,1,Course Project,Ecological and Biological Principles and Processes,0,https://www.canva.com/design/DAG4N2LTK34/IUfQlr-utWrPEQU_VWXIww
Iris: Lock your Money,0,0,0,0,0,0,0,0,1,0,Competition,DesignUp Futures Challenge,0,https://drive.google.com/file/d/1WSNKPnbn512YBLQ-PKrpwwdsuFGWWwJy/view?usp=drive_link
Dunning Kruger and Personality Influences in Action,0,0,1,1,0,1,0,0,0,0,Course Project,Introduction to Cognitive Science,0,https://drive.google.com/file/d/1IqT5_ojtfDJJMX2GqOAitGuF2JRjm4OL/view?usp=drive_link
Water Resource Management in the Mississipi Basin,0,0,1,1,0,0,0,1,0,1,Course Project,Water Resource Systems Analysis,0,https://drive.google.com/drive/folders/1MirQViCopLiInX0Lzn8cQ7XkOGmBLyFt?usp=drive_link
DOAA Website Redesign,0,0,0,0,1,0,1,0,0,0,Course Project,Human Computer Interaction,0,https://drive.google.com/file/d/1waqUhSq0KSsib4hNn6yX-zQGeg2_p4oC/view?usp=drive_link